product_id,crop_id,raw_grams_per_100g,yield_fraction,source
masala_dosa,onion,5,1.0,S5:recipe
masala_dosa,mustard,2,0.33,S5:recipe
poha,rice,30,0.67,S5:recipe
poha,onion,8,1.0,S5:recipe
poha,potato,6,1.0,S5:recipe
poha,groundnut,4,1.0,S5:recipe
poha,mustard,2,0.33,S5:recipe
poha,chilli,1,1.0,S5:recipe
upma,wheat,28,0.72,S5:recipe
upma,onion,7,1.0,S5:recipe
upma,carrot,4,1.0,S5:recipe
upma,green_pea,3,1.0,S5:recipe
upma,mustard,2,0.33,S5:recipe
chole_bhature,wheat,20,0.72,S5:recipe
chole_bhature,chickpea,15,1.0,S5:recipe
chole_bhature,onion,5,1.0,S5:recipe
chole_bhature,tomato,5,1.0,S5:recipe
chole_bhature,mustard,4,0.33,S5:recipe
chole_bhature,garlic,1,1.0,S5:recipe
rajma_chawal,rice,15,0.67,S5:recipe
rajma_chawal,kidney_bean,8,1.0,S5:recipe
rajma_chawal,onion,4,1.0,S5:recipe
rajma_chawal,tomato,4,1.0,S5:recipe
rajma_chawal,mustard,1.5,0.33,S5:recipe
rajma_chawal,garlic,0.5,1.0,S5:recipe
paneer_butter_masala,cheese,22,1.0,S5:recipe
paneer_butter_masala,tomato,20,1.0,S5:recipe
paneer_butter_masala,milk,10,1.0,S5:recipe
paneer_butter_masala,onion,6,1.0,S5:recipe
paneer_butter_masala,butter,5,1.0,S5:recipe
paneer_butter_masala,garlic,1,1.0,S5:recipe
paneer_butter_masala,chilli,1,1.0,S5:recipe
aloo_paratha,wheat,40,0.80,S5:recipe
aloo_paratha,potato,30,1.0,S5:recipe
aloo_paratha,onion,5,1.0,S5:recipe
aloo_paratha,butter,4,1.0,S5:recipe
aloo_paratha,chilli,1,1.0,S5:recipe
samosa,wheat,35,0.72,S5:recipe
samosa,potato,35,1.0,S5:recipe
samosa,sunflower,8,0.40,S5:recipe
samosa,green_pea,6,1.0,S5:recipe
samosa,chilli,1,1.0,S5:recipe
vada_pav,potato,30,1.0,S5:recipe
vada_pav,wheat,30,0.72,S5:recipe
vada_pav,chickpea,10,0.85,S5:recipe
vada_pav,sunflower,6,0.40,S5:recipe
vada_pav,garlic,2,1.0,S5:recipe
vada_pav,chilli,1,1.0,S5:recipe
pav_bhaji,potato,20,1.0,S5:recipe
pav_bhaji,wheat,20,0.72,S5:recipe
pav_bhaji,tomato,15,1.0,S5:recipe
pav_bhaji,onion,10,1.0,S5:recipe
pav_bhaji,butter,6,1.0,S5:recipe
pav_bhaji,green_pea,5,1.0,S5:recipe
pav_bhaji,cauliflower,5,1.0,S5:recipe
curd_rice,milk,45,1.0,S5:recipe
curd_rice,rice,15,0.67,S5:recipe
sambar_rice,rice,15,0.67,S5:recipe
sambar_rice,pigeonpea,6,1.0,S5:recipe
sambar_rice,tomato,5,1.0,S5:recipe
sambar_rice,brinjal,4,1.0,S5:recipe
sambar_rice,onion,3,1.0,S5:recipe
sambar_rice,coconut,2,1.0,S5:recipe
sambar_rice,mustard,1,0.33,S5:recipe
khichdi,rice,18,0.67,S5:recipe
khichdi,mung_bean,8,1.0,S5:recipe
khichdi,potato,5,1.0,S5:recipe
khichdi,carrot,3,1.0,S5:recipe
khichdi,mustard,1.5,0.33,S5:recipe
pulao,rice,25,0.67,S5:recipe
pulao,onion,6,1.0,S5:recipe
pulao,carrot,5,1.0,S5:recipe
pulao,green_pea,5,1.0,S5:recipe
pulao,mustard,3,0.33,S5:recipe
chai,milk,50,1.0,S5:recipe
chai,sugarcane,8,0.10,S5:recipe
chai,tea,1,1.0,S5:recipe
filter_coffee,milk,45,1.0,S5:recipe
filter_coffee,sugarcane,6,0.10,S5:recipe
filter_coffee,coffee,2,0.84,S5:recipe
omelette,egg,75,1.0,S5:recipe
omelette,onion,8,1.0,S5:recipe
omelette,tomato,5,1.0,S5:recipe
omelette,mustard,3,0.33,S5:recipe
omelette,chilli,1,1.0,S5:recipe
egg_curry,egg,32,1.0,S5:recipe
egg_curry,onion,10,1.0,S5:recipe
egg_curry,tomato,10,1.0,S5:recipe
egg_curry,milk,5,1.0,S5:recipe
egg_curry,mustard,3,0.33,S5:recipe
egg_curry,garlic,1,1.0,S5:recipe
chicken_curry,chicken_meat,35,1.0,S5:recipe
chicken_curry,onion,12,1.0,S5:recipe
chicken_curry,tomato,10,1.0,S5:recipe
chicken_curry,milk,5,1.0,S5:recipe
chicken_curry,mustard,4,0.33,S5:recipe
chicken_curry,garlic,2,1.0,S5:recipe
chicken_curry,chilli,1,1.0,S5:recipe
mutton_curry,goat_meat,35,1.0,S5:recipe
mutton_curry,onion,12,1.0,S5:recipe
mutton_curry,tomato,8,1.0,S5:recipe
mutton_curry,milk,5,1.0,S5:recipe
mutton_curry,mustard,4,0.33,S5:recipe
mutton_curry,garlic,2,1.0,S5:recipe
biscuit_marie,wheat,70,0.72,S5:recipe
biscuit_marie,sugarcane,20,0.10,S5:recipe
biscuit_marie,butter,8,1.0,S5:recipe
biscuit_marie,milk,3,1.0,S5:recipe
bread_white,wheat,75,0.72,S5:recipe
bread_white,sugarcane,3,0.10,S5:recipe
bread_white,sunflower,2,0.40,S5:recipe
instant_noodles,wheat,78,0.72,S5:recipe
instant_noodles,sunflower,15,0.40,S5:recipe
okra_raw,okra,100,1.0,S1
cotton_tshirt,cotton,100,0.35,S5:lint-ratio
jeans_pair,cotton,100,0.35,S5:lint-ratio
cotton_saree,cotton,100,0.35,S5:lint-ratio
jute_bag,jute,100,0.55,S5:approx
dal_tadka,pigeonpea,18,1.0,S5:recipe
dal_tadka,onion,5,1.0,S5:recipe
dal_tadka,tomato,5,1.0,S5:recipe
dal_tadka,mustard,3,0.33,S5:recipe
dal_tadka,garlic,1,1.0,S5:recipe
dal_tadka,chilli,1,1.0,S5:recipe
bhindi_masala,okra,60,1.0,S5:recipe
bhindi_masala,onion,8,1.0,S5:recipe
bhindi_masala,tomato,6,1.0,S5:recipe
bhindi_masala,mustard,4,0.33,S5:recipe
bhindi_masala,chilli,1,1.0,S5:recipe
parle_g_biscuit,wheat,68,0.72,S5:recipe
parle_g_biscuit,sugarcane,22,0.10,S5:recipe
parle_g_biscuit,sunflower,12,0.40,S5:recipe
parle_g_biscuit,milk,2,1.0,S5:recipe
bajra_raw,pearl_millet,100,1.0,S1
jowar_raw,sorghum,100,1.0,S1
ragi_raw,finger_millet,100,1.0,S1
maize_raw,maize,100,1.0,S1
bitter_gourd_raw,bitter_gourd,100,1.0,S1:category-avg
bottle_gourd_raw,bottle_gourd,100,1.0,S1:category-avg
ridge_gourd_raw,ridge_gourd,100,1.0,S1:category-avg
ash_gourd_raw,ash_gourd,100,1.0,S1:approx
snake_gourd_raw,snake_gourd,100,1.0,S1:category-avg
capsicum_raw,capsicum,100,1.0,S1:approx
drumstick_raw,drumstick,100,1.0,S1:category-avg
french_beans_raw,french_beans,100,1.0,S1
cluster_beans_raw,cluster_beans,100,1.0,S1:approx
beetroot_raw,beetroot,100,1.0,S1:approx
radish_raw,radish,100,1.0,S1:approx
sweet_potato_raw,sweet_potato,100,1.0,S1
colocasia_raw,colocasia,100,1.0,S1
yam_raw,yam,100,1.0,S1
fenugreek_leaf_raw,fenugreek_leaf,100,1.0,S1:approx
coriander_leaf_raw,coriander_leaf,100,1.0,S1:approx
mint_leaf_raw,mint_leaf,100,1.0,S1:approx
curry_leaf_raw,curry_leaf,100,1.0,S1:approx
spring_onion_raw,spring_onion,100,1.0,S1:approx
mushroom_raw,mushroom,100,1.0,S1
sweet_corn_raw,sweet_corn,100,1.0,S1:approx
pomegranate_raw,pomegranate,100,1.0,S1:category-avg
pineapple_raw,pineapple,100,1.0,S1
sapota_raw,sapota,100,1.0,S1:category-avg
custard_apple_raw,custard_apple,100,1.0,S1:category-avg
jackfruit_raw,jackfruit,100,1.0,S1:category-avg
lemon_raw,lemon,100,1.0,S1
turmeric_raw,turmeric,100,1.0,S1:category-avg
ginger_raw,ginger,100,1.0,S1:approx
cumin_raw,cumin,100,1.0,S1:category-avg
coriander_seed_raw,coriander_seed,100,1.0,S1:category-avg
black_pepper_raw,black_pepper,100,1.0,S1
cardamom_raw,cardamom,100,1.0,S1:category-avg
cashew_raw,cashew,100,1.0,S1
almond_raw,almond,100,1.0,S1
walnut_raw,walnut,100,1.0,S1
barley_raw,barley,100,1.0,S1
pigeonpea_raw,pigeonpea,100,1.0,S1:approx
mung_bean_raw,mung_bean,100,1.0,S1:approx
black_gram_raw,black_gram,100,1.0,S1:approx
kidney_bean_raw,kidney_bean,100,1.0,S1
dry_pea_raw,dry_pea,100,1.0,S1
mustard_raw,mustard,100,1.0,S1
sunflower_raw,sunflower,100,1.0,S1
sesame_raw,sesame,100,1.0,S1
cabbage_raw,cabbage,100,1.0,S1
cauliflower_raw,cauliflower,100,1.0,S1
brinjal_raw,brinjal,100,1.0,S1:approx
carrot_raw,carrot,100,1.0,S1
green_pea_raw,green_pea,100,1.0,S1:approx
spinach_raw,spinach,100,1.0,S1
chilli_raw,chilli,100,1.0,S1:approx
garlic_raw,garlic,100,1.0,S1
pumpkin_raw,pumpkin,100,1.0,S1
cucumber_raw,cucumber,100,1.0,S1
orange_raw,orange,100,1.0,S1
grapes_raw,grapes,100,1.0,S1
papaya_raw,papaya,100,1.0,S1
watermelon_raw,watermelon,100,1.0,S1
guava_raw,guava,100,1.0,S1:approx
jute_raw,jute,100,1.0,S1:approx
goat_meat_raw,goat_meat,100,1.0,S2
sheep_meat_raw,sheep_meat,100,1.0,S2
buffalo_meat_raw,buffalo_meat,100,1.0,S2
butter_raw,butter,100,1.0,S2
cheese_raw,cheese,100,1.0,S2
oats_raw,oats,100,1,S1:table3
rye_raw,rye,100,1,S1:table3
buckwheat_raw,buckwheat,100,1,S1:table3
broad_beans_raw,broad_beans,100,1,S1:table3
soy_curd_raw,soy_curd,100,1,S1:table3
copra_raw,copra,100,1,S1:table3
linseed_raw,linseed,100,1,S1:table3
safflower_raw,safflower,100,1,S1:table3
poppy_raw,poppy,100,1,S1:table3
maize_oil_raw,maize_oil,100,1,S1:table3
cottonseed_oil_raw,cottonseed_oil,100,1,S1:table3
pistachio_raw,pistachio,100,1,S1:table3
lettuce_raw,lettuce,100,1,S1:table3
cassava_flour_raw,cassava_flour,100,1,S1:table3
tomato_ketchup_raw,tomato_ketchup,100,1,S1:table3
tomato_paste_raw,tomato_paste,100,1,S1:table3
potato_starch_raw,potato_starch,100,1,S1:table3
wheat_starch_raw,wheat_starch,100,1,S1:table3
dry_pasta_raw,dry_pasta,100,1,S1:table3
cinnamon_raw,cinnamon,100,1,S1:table3
clove_raw,clove,100,1,S1:table3
plantain_raw,plantain,100,1,S1:table3
tangerine_raw,tangerine,100,1,S1:table3
grapefruit_raw,grapefruit,100,1,S1:table3
pear_raw,pear,100,1,S1:table3
peach_raw,peach,100,1,S1:table3
plum_raw,plum,100,1,S1:table3
apricot_raw,apricot,100,1,S1:table3
strawberry_raw,strawberry,100,1,S1:table3
dates_raw,dates,100,1,S1:table3
avocado_raw,avocado,100,1,S1:table3
kiwi_raw,kiwi,100,1,S1:table3
olive_raw,olive,100,1,S1:table3
sugar_beet_raw,sugar_beet,100,1,S1:table3
cocoa_raw,cocoa,100,1,S1:table3
chocolate_raw,chocolate,100,1,S1:table3
soy_milk_raw,soy_milk,100,1,S1:table3
orange_juice_raw,orange_juice,100,1,S1:table3
apple_juice_raw,apple_juice,100,1,S1:table3
beer_raw,beer,100,1,S1:table3
jaggery,cane_molasses,100,1,S1:table3-molasses-derived
